Time,EcgWaveform
27/09/2019 11:11:44.432,297
27/09/2019 11:11:44.436,297
27/09/2019 11:11:44.440,297
27/09/2019 11:11:44.444,297
27/09/2019 11:11:44.448,297
27/09/2019 11:11:44.452,297
27/09/2019 11:11:44.456,297
27/09/2019 11:11:44.460,297
27/09/2019 11:11:44.464,297
27/09/2019 11:11:44.468,297
27/09/2019 11:11:44.472,297
27/09/2019 11:11:44.476,297
27/09/2019 11:11:44.480,297
27/09/2019 11:11:44.484,297
27/09/2019 11:11:44.488,297
27/09/2019 11:11:44.492,297
27/09/2019 11:11:44.496,297
27/09/2019 11:11:44.500,297
27/09/2019 11:11:44.504,297
27/09/2019 11:11:44.508,297
27/09/2019 11:11:44.512,297
27/09/2019 11:11:44.516,297
27/09/2019 11:11:44.520,297
27/09/2019 11:11:44.524,297
27/09/2019 11:11:44.528,297
27/09/2019 11:11:44.532,297
27/09/2019 11:11:44.536,297
27/09/2019 11:11:44.540,297
27/09/2019 11:11:44.544,297
27/09/2019 11:11:44.548,297
27/09/2019 11:11:44.552,297
27/09/2019 11:11:44.556,297
27/09/2019 11:11:44.560,297
27/09/2019 11:11:44.564,297
27/09/2019 11:11:44.568,297
27/09/2019 11:11:44.572,297
27/09/2019 11:11:44.576,297
27/09/2019 11:11:44.580,297
27/09/2019 11:11:44.584,297
27/09/2019 11:11:44.588,297
27/09/2019 11:11:44.592,297
27/09/2019 11:11:44.596,297
27/09/2019 11:11:44.600,297
27/09/2019 11:11:44.604,297
27/09/2019 11:11:44.608,297
27/09/2019 11:11:44.612,297
27/09/2019 11:11:44.616,297
27/09/2019 11:11:44.620,297
27/09/2019 11:11:44.624,297
27/09/2019 11:11:44.628,297
27/09/2019 11:11:44.632,297
27/09/2019 11:11:44.636,297
27/09/2019 11:11:44.640,297
27/09/2019 11:11:44.644,297
27/09/2019 11:11:44.648,297
27/09/2019 11:11:44.652,297
27/09/2019 11:11:44.656,297
27/09/2019 11:11:44.660,297
27/09/2019 11:11:44.664,297
27/09/2019 11:11:44.668,297
27/09/2019 11:11:44.672,297
27/09/2019 11:11:44.676,297
27/09/2019 11:11:44.680,297
27/09/2019 11:11:44.684,297
27/09/2019 11:11:44.688,297
27/09/2019 11:11:44.692,297
27/09/2019 11:11:44.696,297
27/09/2019 11:11:44.700,297
27/09/2019 11:11:44.704,297
27/09/2019 11:11:44.708,297
27/09/2019 11:11:44.712,297
27/09/2019 11:11:44.716,297
27/09/2019 11:11:44.720,297
27/09/2019 11:11:44.724,297
27/09/2019 11:11:44.728,297
27/09/2019 11:11:44.732,297
27/09/2019 11:11:44.736,297
27/09/2019 11:11:44.740,297
27/09/2019 11:11:44.744,297
27/09/2019 11:11:44.748,297
27/09/2019 11:11:44.752,297
27/09/2019 11:11:44.756,297
27/09/2019 11:11:44.760,297
27/09/2019 11:11:44.764,297
27/09/2019 11:11:44.768,297
27/09/2019 11:11:44.772,297
27/09/2019 11:11:44.776,297
27/09/2019 11:11:44.780,297
27/09/2019 11:11:44.784,297
27/09/2019 11:11:44.788,297
27/09/2019 11:11:44.792,297
27/09/2019 11:11:44.796,297
27/09/2019 11:11:44.800,297
27/09/2019 11:11:44.804,297
27/09/2019 11:11:44.808,297
27/09/2019 11:11:44.812,297
27/09/2019 11:11:44.816,297
27/09/2019 11:11:44.820,297
27/09/2019 11:11:44.824,297
27/09/2019 11:11:44.828,297
27/09/2019 11:11:44.832,297
27/09/2019 11:11:44.836,297
27/09/2019 11:11:44.840,297
27/09/2019 11:11:44.844,297
27/09/2019 11:11:44.848,297
27/09/2019 11:11:44.852,297
27/09/2019 11:11:44.856,297
27/09/2019 11:11:44.860,297
