Time,RtoR
,1105
,953
,1016
,981
,894
,854
,821
,871
,835
,994
,884
,846
,821
,886
,902
,1022
,985
,1061
,1037
,1089
,1062
,1084
,1004
,921
,870
,835
,1198
,1072
,990
,1113
,1017
,1121
,1110
,1068
,1086
,1036
,1072
,1015
,901
,976
,963
,1049
,1024
,1081
,1011
,1096
,1019
,1037
,1018
,1076
,1021
,1058
,1062
,1020
,885
,802
,863
,842
,1133
,972
,1078
,984
,1056
,977
,1037
,1012
,1028
,1036
,953
,1031
,1056
,1010
,968
,992
,1001
,1018
,966
,890
,974
,1021
,963
,857
,834
,745
,948
,1013
,929
,1012
,897
,987
,984
,943
,990
,886
,948
,911
,964
,1053
,971
,1055
,964
,1090
,1038
,1133
,1092
,989
,1079
,1027
,1028
,952
,883
,1046
,943
,1075
,911
,1008
,987
,1035
,1033
,1079
,997
,918
,927
,982
,964
,917
,870
,803
,775
,817
,798
,930
,960
,842
,845
,1027
,963
,1045
,1000
,1057
,932
,986
,914
,927
,863
,769
,732
,740
,722
,714
,750
,905
,811
,858
,848
,817
,905
,967
,946
,906
,843
,825
,812
,954
,942
,1019
,814
,860
,927
,1029
,1086
,969
,1131
,1108
,1109
,1154
,985
,1042
,1170
,1155
,1202
,1069
,1041
,927
,1076
,1164
,1073
,1058
,1167
,1101
,1173
,1071
,1165
,1200
,1197
,1194
,1087
,1214
,1116
,1197
,1244
,1191
,1186
,1182
,1126
,1161
,1162
,1139
,1018
,974
,881
,879
,919
,1244
,982
,888
,1092
,1131
,1080
,1131
,1052
,1084
,1150
,1118
,1093
,1157
,1113
,1096
,1190
,1128
,1117
,1193
,1197
,1167
,1141
,1129
,1164
,1127
,1123
,1090
,978
,952
,862
,890
,902
,1098
,926
,942
,1076
,1006
,996
,837
,897
,1020
,1019
,907
,993
,945
,1047
,1058
,1014
,924
,903
,948
,876
,927
,1068
,1069
,1038
,925
,959
,1056
,944
,1082
,1003
,1068
,1054
,974
,1072
,1017
,875
,869
,821
,779
,776
,961
,1024
,1111
,1070
,1050
,1001
,1058
,1017
,967
,846
,997
,877
,1059
,990
,961
,1054
,1092
,1048
,991
,985
,914
,946
,876
,944
,966
,987
,975
,1029
,987
,805
,787
,1106
,1057
,1031
,1006
,1052
,979
,1004
,975
,840
,1017
,969
,1144
,1134
,1034
,1134
,1058
,1086
,1058
,1082
,1048
,868
,1181
,1044
,1045
,961
,945
,874
,882
,881
,821
,243
,635
,123
,638
,81
,1177
,563
,866
,1421
,227
