Time,Vertical,Lateral,Sagittal
01/10/2019 14:23:12.231,2061,2126,2063
01/10/2019 14:23:12.241,2062,2128,2063
01/10/2019 14:23:12.251,2062,2128,2062
01/10/2019 14:23:12.261,2062,2127,2061
01/10/2019 14:23:12.271,2062,2128,2061
01/10/2019 14:23:12.281,2062,2127,2062
01/10/2019 14:23:12.291,2062,2126,2062
01/10/2019 14:23:12.301,2062,2126,2063
01/10/2019 14:23:12.311,2062,2128,2061
01/10/2019 14:23:12.321,2062,2129,2062
01/10/2019 14:23:12.331,2062,2129,2062
01/10/2019 14:23:12.341,2063,2128,2062
01/10/2019 14:23:12.351,2063,2127,2063
01/10/2019 14:23:12.361,2063,2128,2063
01/10/2019 14:23:12.371,2063,2129,2062
01/10/2019 14:23:12.381,2063,2128,2063
01/10/2019 14:23:12.391,2063,2127,2063
01/10/2019 14:23:12.401,2062,2127,2061
01/10/2019 14:23:12.411,2062,2128,2062
01/10/2019 14:23:12.421,2062,2126,2063
01/10/2019 14:23:12.431,2062,2126,2062
01/10/2019 14:23:12.441,2061,2127,2063
01/10/2019 14:23:12.451,2062,2127,2063
01/10/2019 14:23:12.461,2062,2127,2063
01/10/2019 14:23:12.471,2062,2124,2063
01/10/2019 14:23:12.481,2062,2126,2063
01/10/2019 14:23:12.491,2063,2126,2063
01/10/2019 14:23:12.501,2063,2126,2063
01/10/2019 14:23:12.511,2063,2127,2063
01/10/2019 14:23:12.521,2063,2127,2063
01/10/2019 14:23:12.531,2063,2127,2063
01/10/2019 14:23:12.541,2063,2128,2062
01/10/2019 14:23:12.551,2063,2128,2062
01/10/2019 14:23:12.561,2063,2129,2063
01/10/2019 14:23:12.571,2063,2129,2063
01/10/2019 14:23:12.581,2063,2128,2063
01/10/2019 14:23:12.591,2062,2129,2063
01/10/2019 14:23:12.601,2062,2127,2062
01/10/2019 14:23:12.611,2062,2126,2062
01/10/2019 14:23:12.621,2062,2128,2063
01/10/2019 14:23:12.631,2062,2128,2062
01/10/2019 14:23:12.641,2062,2128,2063
01/10/2019 14:23:12.651,2062,2129,2063
01/10/2019 14:23:12.661,2062,2129,2063
01/10/2019 14:23:12.671,2062,2128,2061
01/10/2019 14:23:12.681,2062,2129,2062
01/10/2019 14:23:12.691,2062,2127,2062
01/10/2019 14:23:12.701,2062,2128,2063
01/10/2019 14:23:12.711,2063,2129,2062
01/10/2019 14:23:12.721,2063,2129,2063
01/10/2019 14:23:12.731,2063,2128,2061
01/10/2019 14:23:12.741,2063,2129,2062
01/10/2019 14:23:12.751,2063,2128,2062
01/10/2019 14:23:12.761,2063,2129,2063
01/10/2019 14:23:12.771,2063,2127,2062
01/10/2019 14:23:12.781,2063,2127,2063
01/10/2019 14:23:12.791,2063,2126,2063
01/10/2019 14:23:12.801,2063,2128,2062
01/10/2019 14:23:12.811,2064,2129,2062
01/10/2019 14:23:12.821,2063,2128,2063
01/10/2019 14:23:12.831,2064,2129,2063
01/10/2019 14:23:12.841,2063,2129,2063
01/10/2019 14:23:12.851,2063,2128,2063
01/10/2019 14:23:12.861,2063,2129,2063
01/10/2019 14:23:12.871,2064,2129,2062
01/10/2019 14:23:12.881,2063,2129,2063
01/10/2019 14:23:12.891,2064,2128,2062
01/10/2019 14:23:12.901,2063,2129,2063
01/10/2019 14:23:12.911,2063,2128,2063
01/10/2019 14:23:12.921,2063,2128,2062
01/10/2019 14:23:12.931,2063,2126,2062
01/10/2019 14:23:12.941,2063,2127,2062
01/10/2019 14:23:12.951,2063,2127,2063
01/10/2019 14:23:12.961,2063,2126,2062
01/10/2019 14:23:12.971,2063,2125,2063
01/10/2019 14:23:12.981,2063,2127,2063
01/10/2019 14:23:12.991,2063,2126,2063
01/10/2019 14:23:13.001,2063,2127,2062
01/10/2019 14:23:13.011,2063,2127,2062
01/10/2019 14:23:13.021,2062,2126,2062
01/10/2019 14:23:13.031,2062,2128,2063
01/10/2019 14:23:13.041,2062,2129,2063
01/10/2019 14:23:13.051,2062,2129,2063
01/10/2019 14:23:13.061,2062,2129,2062
01/10/2019 14:23:13.071,2062,2127,2063
01/10/2019 14:23:13.081,2062,2127,2063
01/10/2019 14:23:13.091,2062,2127,2063
01/10/2019 14:23:13.101,2063,2128,2063
01/10/2019 14:23:13.111,2063,2127,2063
01/10/2019 14:23:13.121,2063,2128,2063
01/10/2019 14:23:13.131,2063,2129,2063
01/10/2019 14:23:13.141,2063,2128,2063
01/10/2019 14:23:13.151,2063,2128,2063
01/10/2019 14:23:13.161,2063,2127,2063
01/10/2019 14:23:13.171,2063,2127,2063
01/10/2019 14:23:13.181,2063,2128,2063
01/10/2019 14:23:13.191,2063,2126,2062
01/10/2019 14:23:13.201,2062,2127,2063
01/10/2019 14:23:13.211,2062,2127,2063
01/10/2019 14:23:13.221,2062,2127,2063
01/10/2019 14:23:13.231,2062,2128,2062
01/10/2019 14:23:13.241,2062,2128,2062
