Time,Vertical,Lateral,Sagittal
24/09/2019 12:42:24.081,1971,2044,2072
24/09/2019 12:42:24.091,1973,2042,2073
24/09/2019 12:42:24.101,1973,2042,2072
24/09/2019 12:42:24.111,1973,2043,2072
24/09/2019 12:42:24.121,1971,2045,2073
24/09/2019 12:42:24.131,1972,2045,2071
24/09/2019 12:42:24.141,1969,2045,2069
24/09/2019 12:42:24.151,1969,2043,2070
24/09/2019 12:42:24.161,1971,2047,2070
24/09/2019 12:42:24.171,1971,2047,2070
24/09/2019 12:42:24.181,1968,2045,2072
24/09/2019 12:42:24.191,1970,2045,2071
24/09/2019 12:42:24.201,1971,2044,2068
24/09/2019 12:42:24.211,1972,2042,2068
24/09/2019 12:42:24.221,1972,2046,2071
24/09/2019 12:42:24.231,1972,2047,2071
24/09/2019 12:42:24.241,1972,2047,2070
24/09/2019 12:42:24.251,1971,2048,2070
24/09/2019 12:42:24.261,1971,2049,2070
24/09/2019 12:42:24.271,1972,2047,2070
24/09/2019 12:42:24.281,1968,2047,2071
24/09/2019 12:42:24.291,1967,2045,2073
24/09/2019 12:42:24.301,1970,2046,2070
24/09/2019 12:42:24.311,1972,2044,2072
24/09/2019 12:42:24.321,1972,2045,2070
24/09/2019 12:42:24.331,1974,2046,2068
24/09/2019 12:42:24.341,1975,2048,2070
24/09/2019 12:42:24.351,1973,2050,2069
24/09/2019 12:42:24.361,1972,2050,2070
24/09/2019 12:42:24.371,1972,2050,2067
24/09/2019 12:42:24.381,1971,2049,2070
24/09/2019 12:42:24.391,1970,2050,2071
24/09/2019 12:42:24.401,1970,2049,2070
24/09/2019 12:42:24.411,1971,2048,2073
24/09/2019 12:42:24.421,1970,2047,2072
24/09/2019 12:42:24.431,1970,2045,2071
24/09/2019 12:42:24.441,1970,2046,2067
24/09/2019 12:42:24.451,1969,2050,2065
24/09/2019 12:42:24.461,1969,2048,2068
24/09/2019 12:42:24.471,1968,2046,2068
24/09/2019 12:42:24.481,1967,2047,2068
24/09/2019 12:42:24.491,1969,2049,2070
24/09/2019 12:42:24.501,1972,2049,2071
24/09/2019 12:42:24.511,1971,2050,2071
24/09/2019 12:42:24.521,1973,2049,2069
24/09/2019 12:42:24.531,1973,2048,2070
24/09/2019 12:42:24.541,1971,2048,2069
24/09/2019 12:42:24.551,1971,2048,2069
24/09/2019 12:42:24.561,1973,2048,2068
24/09/2019 12:42:24.571,1973,2047,2068
24/09/2019 12:42:24.581,1972,2049,2068
24/09/2019 12:42:24.591,1971,2050,2066
24/09/2019 12:42:24.601,1972,2051,2067
24/09/2019 12:42:24.611,1970,2052,2068
24/09/2019 12:42:24.621,1970,2051,2069
24/09/2019 12:42:24.631,1970,2052,2068
24/09/2019 12:42:24.641,1969,2050,2069
24/09/2019 12:42:24.651,1970,2052,2069
24/09/2019 12:42:24.661,1971,2050,2070
24/09/2019 12:42:24.671,1972,2048,2069
24/09/2019 12:42:24.681,1974,2049,2070
24/09/2019 12:42:24.691,1974,2048,2070
24/09/2019 12:42:24.701,1974,2049,2073
24/09/2019 12:42:24.711,1974,2047,2074
24/09/2019 12:42:24.721,1973,2047,2073
24/09/2019 12:42:24.731,1974,2047,2071
24/09/2019 12:42:24.741,1974,2047,2070
24/09/2019 12:42:24.751,1974,2049,2070
24/09/2019 12:42:24.761,1972,2048,2068
24/09/2019 12:42:24.771,1973,2049,2069
24/09/2019 12:42:24.781,1974,2051,2071
24/09/2019 12:42:24.791,1971,2052,2070
24/09/2019 12:42:24.801,1970,2052,2073
24/09/2019 12:42:24.811,1972,2052,2072
24/09/2019 12:42:24.821,1972,2053,2071
24/09/2019 12:42:24.831,1971,2054,2070
24/09/2019 12:42:24.841,1969,2053,2071
24/09/2019 12:42:24.851,1970,2053,2070
24/09/2019 12:42:24.861,1972,2052,2071
24/09/2019 12:42:24.871,1971,2052,2070
24/09/2019 12:42:24.881,1970,2052,2071
24/09/2019 12:42:24.891,1971,2053,2072
24/09/2019 12:42:24.901,1973,2053,2070
24/09/2019 12:42:24.911,1972,2052,2070
24/09/2019 12:42:24.921,1969,2050,2068
24/09/2019 12:42:24.931,1972,2050,2070
24/09/2019 12:42:24.941,1973,2051,2067
24/09/2019 12:42:24.951,1974,2049,2066
24/09/2019 12:42:24.961,1972,2049,2068
24/09/2019 12:42:24.971,1972,2047,2066
