Time,RtoR
,666
,742
,791
,784
,832
,823
,756
,787
,712
,687
,690
,723
,751
,778
,778
,745
,713
,658
,632
,643
,671
,726
,724
,791
,819
,842
,777
,754
,720
,707
,712
,685
,662
,668
,690
,700
,694
,699
,630
,653
,635
,650
,646
,702
,723
,793
,775
,752
,732
,702
,670
,652
,645
,627
,643
,633
,650
,685
,701
,696
,684
,667
,640
,623
,610
,576
,577
,573
,577
,603
,691
,733
,669
,673
,700
,728
,693
,679
,686
,686
,634
,636
,638
,645
,647
,618
,626
,624
,595
,585
,589
,587
,608
,609
,627
,638
,654
,618
,633
,645
,653
,706
,731
,779
,725
,707
,709
,682
,678
,687
,695
,663
,684
,698
,720
,685
,726
,716
,679
,689
,676
,656
,657
,663
,727
,765
,717
,731
,735
,675
,654
,650
,666
,672
,729
,730
,786
,747
,804
,821
,752
,765
,751
,698
,726
,661
,681
,680
,692
,687
,728
,771
,760
,778
,723
,699
,712
,681
,649
,681
,688
,657
,682
,690
,718
,690
,729
,729
,656
,652
,647
,633
,661
,635
,674
,663
,692
,692
,675
,673
,665
,631
,616
,621
,651
,733
,682
,701
,728
,716
,673
,681
,669
,636
,628
,619
,617
,605
,596
,618
,640
,657
,672
,682
,671
,631
,653
,647
,652
,660
,669
,719
,711
,720
,745
,731
,734
,707
,691
,670
,650
,634
,598
,604
,593
,634
,706
,748
,770
,740
,724
,698
,668
,611
,617
,602
,588
,566
,614
,663
,770
,756
,755
,760
,714
,688
,670
,672
,674
,660
,646
,659
,677
,663
,694
,708
,713
,708
,694
,643
,643
,642
,664
,686
,700
,667
,726
,719
,737
,657
,689
,666
,649
,649
,648
,660
,633
,645
,650
,643
,641
,657
,655
,657
,648
,640
,621
,605
,589
,602
,601
,621
,598
,608
,612
,630
,630
,634
,650
,667
,670
,633
,640
,625
,623
,594
,599
,582
,578
,583
,575
,589
,604
,611
,592
,595
,600
,611
,595
,606
,612
,606
,619
,620
,613
,607
,582
,586
,578
,570
,569
,564
,584
,609
,676
,687
,650
,709
